time,level,rain,acc_rain
2019011701,-,0,0
2019011702,-,0,0
2019011703,-,0,0
2019011704,-,0,0
2019011705,-,0,0
2019011706,-,0,0
2019011707,-,0,0
2019011708,-,0,0
2019011709,-,0,0
2019011710,-,0,0
2019011711,-,0,0
2019011712,-,0,0
2019011713,-,0,0
2019011714,-,0,0
2019011715,-,0,0
2019011716,-,0,0
2019011717,-,0,0
2019011718,-,0,0
2019011719,-,0,0
2019011720,-,0,0
2019011721,-,0,0
2019011722,-,0,0
2019011723,-,0,0
2019011724,-,0,0
2019011801,-,0,0
2019011802,-,0,0
2019011803,-,0,0
2019011804,-,0,0
2019011805,-,0,0
2019011806,-,0,0
2019011807,-,0,0
2019011808,-,0,0
2019011809,-,0,0
2019011810,-,0,0
2019011811,-,0,0
2019011812,-,0,0
2019011813,-,0,0
2019011814,-,0,0
2019011815,-,0,0
2019011816,-,0,0
2019011817,-,0,0
2019011818,-,0,0
2019011819,-,0,0
2019011820,-,0,0
2019011821,-,0,0
2019011822,-,0,0
2019011823,-,0,0
2019011824,-,0,0
2019011901,-,0,0
2019011902,-,0,0
2019011903,-,0,0
2019011904,-,0,0
2019011905,-,0,0
2019011906,-,0,0
2019011907,-,0,0
2019011908,-,0,0
2019011909,-,0,0
2019011910,-,0,0
2019011911,-,0,0
2019011912,-,0,0
2019011913,-,0,0
2019011914,-,0,0
2019011915,-,0,0
2019011916,-,0,0
2019011917,-,0,0
2019011918,-,0,0
2019011919,-,0,0
2019011920,-,0,0
2019011921,-,0,0
2019011922,-,0,0
2019011923,-,0,0
2019011924,-,0,0
2019012001,-,0,0
2019012002,-,0,0
2019012003,-,0,0
2019012004,-,0,0
2019012005,-,0,0
2019012006,-,0,0
2019012007,-,0,0
2019012008,-,0,0
2019012009,-,0,0
2019012010,-,0,0
2019012011,-,0,0
2019012012,-,0,0
2019012013,-,0,0
2019012014,-,0,0
2019012015,-,0,0
2019012016,-,0,0
2019012017,-,0,0
2019012018,-,0,0
2019012019,-,0,0
2019012020,-,0,0
2019012021,-,0,0
2019012022,-,0,0
2019012023,-,0,0
2019012024,-,0,0
2019012101,-,0,0
2019012102,-,0,0
2019012103,-,0,0
2019012104,-,0,0
2019012105,-,0,0
2019012106,-,0,0
2019012107,-,0,0
2019012108,-,0,0
2019012109,-,0,0
2019012110,-,0,0
2019012111,-,0,0
2019012112,-,0,0
2019012113,-,0,0
2019012114,-,0,0
2019012115,-,0,0
2019012116,-,0,0
2019012117,-,0,0
2019012118,-,0,0
2019012119,-,0,0
2019012120,-,0,0
2019012121,-,0,0
2019012122,-,0,0
2019012123,-,0,0
2019012124,-,0,0
2019012201,-,0,0
2019012202,-,0,0
2019012203,-,0,0
2019012204,-,0,0
2019012205,-,0,0
2019012206,-,0,0
2019012207,-,0,0
2019012208,-,0,0
2019012209,-,0,0
2019012210,-,0,0
2019012211,-,0,0
2019012212,-,0,0
2019012213,-,0,0
2019012214,-,0,0
2019012215,-,0,0
2019012216,-,0,0
2019012217,-,0,0
2019012218,-,0,0
2019012219,-,0,0
2019012220,-,0,0
2019012221,-,0,0
2019012222,-,0,0
2019012223,-,0,0
2019012224,-,0,0
2019012301,-,0,0
2019012302,-,0,0
2019012303,-,0,0
2019012304,-,0,0
2019012305,-,0,0
2019012306,-,0,0
2019012307,-,0,0
2019012308,-,0,0
2019012309,-,0,0
2019012310,-,0,0
2019012311,-,0,0
2019012312,-,0,0
2019012313,-,0,0
2019012314,-,0,0
2019012315,-,0,0
2019012316,-,0,0
2019012317,-,0,0
2019012318,-,0,0
2019012319,-,0,0
2019012320,-,0,0
2019012321,-,0,0
2019012322,-,0,0
2019012323,-,0,0
2019012324,-,0,0
2019012401,-,0,0
2019012402,-,0,0
2019012403,-,0,0
2019012404,-,0,0
2019012405,-,0,0
2019012406,-,0,0
2019012407,-,0,0
2019012408,-,0,0
2019012409,-,0,0
2019012410,-,0,0
2019012411,-,0,0
2019012412,-,0,0
2019012413,-,0,0
2019012414,-,0,0
2019012415,-,0,0
2019012416,-,0,0
